linear_runtimes,gammoid_runtimes,partition_runtimes,uniform_runtimes,ground_set_sizes,linear_ground_set_sizes
0.025,0.018,0.003,0.004,10,10
0.046,0.043,0.005,0.006,14,14
0.084,0.085,0.006,0.007,18,18
0.143,0.166,0.009,0.007,22,22
0.235,0.288,0.009,0.009,26,26
0.294,0.431,0.013,0.015,30,30
0.481,0.736,0.014,0.012,34,34
0.63,0.895,0.013,0.012,38,38
0.81,1.416,0.015,0.018,42,42
1.106,1.939,0.017,0.018,46,46
1.494,2.403,0.02,0.019,50,50
2.323,4.427,0.025,0.027,60,60
3.273,7.447,0.03,0.025,70,70
5.152,12.121,0.041,0.034,80,80
7.55,18.063,0.055,0.065,90,90
